Name: CCTV1, URL: http://115.230.183.55:9999/rtp/233.50.201.222:5140$1920x1080, Date: 2024-09-25, Resolution: 1920x1080, Response Time: 364 ms
Name: CCTV1, URL: http://115.230.209.201:9999/rtp/233.50.201.222:5140$1920x1080, Date: 2024-09-26, Resolution: 1920x1080, Response Time: 364 ms
Name: CCTV1, URL: http://14.153.161.94:8888/rtp/239.77.0.86:5146$1920x1080, Date: 2024-09-23, Resolution: 1920x1080, Response Time: 364 ms
Name: CCTV1, URL: http://27.16.219.181:4022/rtp/239.254.96.96:8550$1920x1080, Date: 2024-09-27, Resolution: 1920x1080, Response Time: 364 ms
Name: CCTV1, URL: http://221.221.153.193:8888/rtp/239.3.1.129:8008$1920x1080, Date: 2024-08-29, Resolution: 1920x1080, Response Time: 365 ms
Name: CCTV1, URL: http://123.113.34.218:4022/rtp/239.3.1.129:8008$1920x1080, Date: 2024-09-22, Resolution: 1920x1080, Response Time: 365 ms
Name: CCTV1, URL: http://27.10.230.52:8002/rtp/225.0.4.74:7980$1920x1080, Date: 2024-09-25, Resolution: 1920x1080, Response Time: 365 ms
Name: CCTV1, URL: http://49.74.205.159:8888/rtp/239.49.8.129:6000$1920x1080, Date: 2024-09-14, Resolution: 1920x1080, Response Time: 365 ms
Name: CCTV1, URL: http://121.232.56.23:8818/rtp/239.49.8.129:6000$1920x1080, Date: 2024-09-18, Resolution: 1920x1080, Response Time: 365 ms
Name: CCTV1, URL: http://58.209.140.66:8888/rtp/239.49.8.129:6000$1920x1080, Date: 2024-09-23, Resolution: 1920x1080, Response Time: 365 ms
Name: CCTV1, URL: http://60.220.167.12:8085/rtp/226.0.2.153:9136$1920x1080, Date: 2024-09-28, Resolution: 1920x1080, Response Time: 366 ms
Name: CCTV1, URL: http://58.219.141.207:4001/rtp/239.49.8.129:6000$1920x1080, Date: 2024-09-23, Resolution: 1920x1080, Response Time: 366 ms
Name: CCTV1, URL: http://36.56.123.93:4022/rtp/238.1.78.166:7200$1920x1080, Date: 2024-09-27, Resolution: 1920x1080, Response Time: 366 ms
Name: CCTV1, URL: http://171.117.73.233:8085/rtp/226.0.2.153:9136$1920x1080, Date: 2024-09-25, Resolution: 1920x1080, Response Time: 367 ms
Name: CCTV1, URL: http://221.226.171.136:4022/rtp/239.49.8.129:6000$1920x1080, Date: 2024-09-21, Resolution: 1920x1080, Response Time: 367 ms
Name: CCTV1, URL: http://27.184.66.85:1024/rtp/239.254.200.45:8008$1920x1080, Date: 2024-09-21, Resolution: 1920x1080, Response Time: 368 ms
